customer_tweet_id,customer_text,customer_id,brand_response,brand_tweet_id
398,@AskAmex I’ve asked your sales rep about the payments and she wasn’t ready to listen to any issues that I had.,115807,"@115807 Apologies for all of the issues. If you have time to chat securely with me, I would be happy to review. ^Rachel",400
401,@AskAmex Sure. Please drop me a message now.,115807,@115807 Great. Please go to https://t.co/crJMnNwi0H log in and select code 10307  and we will continue our conversation there. ^RK,402
399,@AskAmex Amex Platinum and Amex everyday card.,115807,@115807 What exactly is the issue you are having?,397
404,@AskAmex Nope. They weren’t ready to listen what I wanted to say and if I had any questions about anything else and hung up on me.,115807,@115807 I am so sorry to hear that. Which U.S. based card do you have? Pls do not share any personal info.,403
406,@AskAmex Thought Amex values their customers. But boy you got really bad reps on the customer service.,115807,"@115807 Hi there, I am so sorry to her that. what exactly is the issue you are having?",405
3643,@AskAmex Unfortunately it said that my account was temporarily locked out of the system still,116582,"@116582 For immediate assistance,pls contact us at the Customer Service number on the back of your Card. Thank you.",3641
3645,@AskAmex No I have not but I will try that now,116582,@116582 Try that and let me know if that helps. ^Clarissa,3644
3647,@AskAmex The blue cash everyday card,116582,@116582 Have you tried resetting your password? ^Clarissa,3646
3649,@AskAmex I’m trying to make changes on my account but it keeps telling me I’ve been temporary locked out I already called to confirm my card,116582,@116582 Hi Ashley. Which U.S. based card is this concerning? Please do not release any personal or card information. ^Clarissa,3648
4623,@AskAmex @237 Excited to dig into this New York issue! https://t.co/er8hvjpFcu,116802,@116802 Enjoy the Nov/Dec 2017 issue!!,4622
6431,@116988 disgusted with your customer service. 🙄,117134,"@117134 Hi there, I am so sorry to hear that. Is there something I can help with?",6430
7968,@AskAmex Personal Platinum card.,117370,@117370 Thx.Pls contact us at the Customer Service number on the back of your Card so we can connect you with our Concierge.Thank you.,7970
7969,Hey can @AskAmex conceirge get tickets to the 2020 Olympic games?,117370,"@117370 Hi there, great question? Which U.S. based card do you have? Pls do not share any personal info.",7967
10600,"@AskAmex my offers have all but disappeared, including many w/end of year expiration dates that I had previously added to my card https://t.co/g9GuoJLYuh",117935,"@117935 Hi Lizzy. For immediate assistance, please call our Digital Assist Team at: 800-297-1234, 24/7. Thank you. ^B",10599
10948,"@AskAmex got charged for uber, didnt see the uber Credit getting posted ? Amex platinum",118057,@118057 back of your Card.Thank you. ^B,10947
11492,@AskAmex I do.  That’s where I looked to add it but couldn’t figure it out,118205,@118205 Do you have time to chat securely through our website so I can look at your account? ^B,11491
11494,@AskAmex The Delta Sky Miles Platinum,118205,"@118205 Do you have access to your account online? You can also call 800-430-1000, 24/7. ^Clarissa",11493
11496,"@AskAmex, How do I link my Delta Sky Miles # to my Amex card?",118205,@118205 Hi Lisa. Which U.S. based card do you have? ^Clarissa,11495
11499,@AskAmex Thx 4 the awesome customer service. My stolen funds will B replaced &amp; my new card is N the mail. Ya'll R awesome,118206,@118206 Thank you for choosing American Express as your Card of choice Eric. Enjoy your evening!,11498
11501,"@116988 @askamex, will call tomorrow as insurance dept is closed",118207,"@118207 If we can assist you in any way in the future,pls let us know.Thank you.",11500
11502,@116988 what’s wrong with customer service number? Service down for 30mins,118207,"@118207 Hi there, did you get your issue resolved?",11504
11507,.. @AskAmex I have a question but don't want to ask on Twitter.  Too long holding on phone. Do you have customer service dm?  Thx.,118208,@118208 Hi Lisa. Pls follow &amp; I will send you some information via DM. Thanks. ^B,11506
11955,@AskAmex no,118350,@118350 They're available 7 days a week 8:00 am to midnight (ET). Sorry for the inconvenience.^In,11957
11960,@AskAmex @118350 I've had a charge appear on my account in another state while I was sleeping. What do I do to get my money back.,118351,"@118351 Hi there. What type of Amex Card is this concerning, once the charge posts you may be able to dispute it. ^Rachel",11961
11956,@AskAmex I tried adding the card to my PayPal and it said it was declined..just bought the card too. it's a prepaid,118350,@118350 Was your purchase more than what you have available on the Card?,11954
11963,@AskAmex yo I need help with a gift card,118350,"@118350 Hi there, how may I help?",11962
12456,"@AskAmex I'm now hearing that the card was canceled ""by customer."" 1) is this fraud 2) if not, who canceled and why",118486,@118486 Pls escalate your concern through the Customer Service number on the back of your Card. ^B,12454
12459,"@AskAmex new delta biz plat card canceled with no explanation after 1 week of use. Never happens with chase, ever.",118486,"@118486 Hi Brian. For immediate assistance, pls contact us at the Customer Service number on the back of your Card. Thank you. ^B",12457
12914,@AskAmex Yes I'm looking for the may 27 bayou fest in New Orleans,118620,"@118620 Thx.Pls visit: https://t.co/aCuvT6CQp6  If we can assist you in any way in the future,pls let us know.Thank you.",12913
12916,@AskAmex how do I get discounted tickets from Ticketmaster,118620,"@118620 Hi Jennifer, thx for tweeting us. Are you looking for a specific Amex sponsored event? ^Naomi",12915
13522,@AskAmex why wont your app ever let me do a partial payment on my cc. it's putting me in a bad place regarding my usage. fix the app!!!,118817,"@118817 Hi Michael.For immediate assistance,pls call our Digital Assist Team at: 800-297-1234, 24/7.Thank you. ^B",13520
