customer_tweet_id,customer_text,customer_id,brand_response,brand_tweet_id,true_intent,requires_escalation,escalation_reason
514940,@AskAmex I need help with my serve account no one is helping me with my issues,238585,@238585 Please contact our serve team@800-954-0559. They will be more than happy to help.,514938,account_assistance,True,"Customer expresses high frustration (""no one is helping me"") and requires immediate intervention."
1058529,@AskAmex I see miles in my account as of this week. I still don't see my $150 statement credit. Am I ever going to receive it?,267387,@267387 Good Afternoon. It could take anywhere from 8-12 weeks once an eligible charge is made. Has this time passed? ^RK,1058530,missing_statement_credit,False,Standard policy inquiry regarding the processing timeline (8-12 weeks) for credits.
110714,@AskAmex Is there an email address where a customer service complaint can be sent?,140626,@140626 Hi. There is no email address as email is not secure. Which U.S. based card is this concerning? Pls do not share personal info. ^C,110713,file_complaint,True,Customer explicitly requesting a channel to file a formal complaint; requires de-escalation.
222000,"@AskAmex Is there a way to report website issues? My Amex dashboard gets stuck and looks like this, started ~monday. Safari 11, macOS 10.13 https://t.co/aC70hiQVBQ",130596,"@130596 Hi Travis, thx for bringing this to our attention. That's odd! Have you tried deleting your cookies&amp; cache? ^Naomi",221999,website_issue,False,Technical support report that can be handled with standard troubleshooting steps.
2550900,@116988 Your benefit helped me get a Nexus card for expedited travel re: TSA but will expire soon. How do I renew w benefit?,724703,"@724703 Hi there, pls visit https://t.co/j3CHElYMVT. for renewal information.",2550901,benefit_inquiry,False,Standard procedural question regarding how to renew a card benefit.
151233,@AskAmex how do I get the Delta companion certificate that is provided with my Delta Platinum Amex card once a year?  This is my renewal month.,150518,@150518 Enjoy your day.^In,151231,benefit_inquiry,False,Standard procedural question regarding how to obtain a companion certificate.
161154,@AskAmex I just get this: https://t.co/OONipYyXkW,153179,@153179 It may not work on your device.Pls contact us at the Customer Service number on the back of your Card for immediate assistance.Thank you. ^B,161155,account_access_issue,True,Ambiguous error link provided; requires a human to look at the user's specific account/device.
2849536,@AskAmex very disappointed in how my customer care rep transfers me to either “incorrect departments” or another rep who says I have to call back in. Just spent 20 min on the phone and accomplished nothing...,792384,"@792384 better assist, please advise the general nature of your concern. No personal or identifiable information please.^In",2849535,customer_service_complaint,True,High frustration with previous customer service interactions; requires a supervisor or specialized rep.
205841,@AskAmex SimplyCash,164761,"@164761 Thank you! yes you would. However, the simply cash card earns cash back not points.",205842,general_inquiry,False,"Vague statement (""SimplyCash""); requires basic automated clarification."
387838,@AskAmex Any estimates on when your website will be functioning again?  Thanks.,207799,@207799 please contact our Digital Assist Team at 800-297-7500. They're available 24/7. Sorry for the inconvenience.^In,387837,website_issue,False,General inquiry regarding a known website outage.
1983260,@116988 it's taken you over 3 months to give me my sign up bonus.  I suggest that nobody call for your intro offers.,587030,@587030 Hi . Sorry to hear that you’re having difficulties.  Have you reported your concerns to our customer service office? Thx-^Courtney,1983259,missing_bonus,True,Escalated frustration regarding a missing promotional bonus taking over 3 months.
2501652,"@AskAmex yes, no proper resolution. Please follow me so I can DM you.",498035,@498035 DM isn't secure. Which U.S Card Product do you have (pls do not release and Card numbers or personal information)?^K,2501654,unresolved_issue,True,Explicit request for direct secure communication via DM due to lack of resolution.
1077536,"I've been a proponent of @116988 support since we first got our card (in '99), yet call today almost ended with me canceling.  1/2",374203,@374203 Good Afternoon and sorry to read about your experience. Can I help with something? ^Rachel,1077535,churn_risk,True,Customer has been loyal since '99 but is threatening to cancel their card.
2756486,"@AskAmex 
Needing to help a friend with his bluebird card. He was told his card has been locked.",771470,@771470 Have a nice day. ^K,2756485,account_locked,True,"Dealing with a locked account and a third party, requiring identity verification."
1341549,@AskAmex I need assistance with a replacement card that hasn't arrived - twice,432917,@432917 Hi Philip.I'm so sorry.I'll be happy to help.Which Card product do you have?,1341548,missing_card,True,"Repeated failure in card delivery (""twice"") requires manual investigation."
2656870,@AskAmex Amex Platinum Personal. @115873 said they could do anything about their app. So looking to you guys for help.,749040,@749040 Have you ever opted-out of the option to use points with Uber? ^Clarissa,2656869,app_support,False,General app troubleshooting request for the Platinum Personal card.
244002,@AskAmex What do you offer to AMEX Hilton Honor card holders to earn points? #NorWich,179464,"@179464 Hi Deanna, thx for tweeting us. Hilton Honors Card Members can earn rewards with Hilton Honors points on eligible charges. ^N",266402,rewards_inquiry,False,Standard question about earning points on the Hilton Honors card.
222153,@AskAmex 19th of September. As of today I still have not received my new card. Should I apply for a lost card?,169049,@169049 That's odd! Card delivery is usually within 7-10days via USPS mail. Pls share which card did you apply for? ^Naomi,222152,missing_card,True,Card delivery delay requires checking the specific account and mail status.
738255,@AskAmex Im having problems with my Hilton hours Business Gift Card.,199596,@199596 Hi Mandy and sorry to read that. What seems to be the problem and have you called us directly to review? ^RK,738253,gift_card_issue,False,General gift card troubleshooting that can follow standard flows.
2919206,@AskAmex @Delta how long after a platinum spend bonus threshold is reached does it take for bonus points and MQM to post? All “regular miles” to make it have posted to my Delta account.,398672,@398672 Hi Andrew. Do you have time to chat securely through our website so I can look at your account? ^B,2919205,missing_bonus,False,Standard policy question on the timeline for points posting after hitting a threshold.
942989,"@AskAmex Dude, your site has been up and down all day.  Its not cookies that causing it.",127905,@127905 We are aware of the issue and it was cleared up a few hours ago. Are you still having trouble ? ^K,942992,technical_issue,False,
2907238,@AskAmex Personal platinum,805010,"@805010 this helps, have a nice day. ^Clarissa",2907237,general_inquiry,False,
2054271,@AskAmex So it’ll count as an inquiry?,566074,@566074 Whenever you request an increase in credit are applied for any new line of credit. Your credit is pull.,2054273,general_inquiry,False,
1758409,@AskAmex I need to stop a payment on an already pre authorized check. The check was washed and ruined.,529342,@529342 Please call Bluebird directly for assistance. ^Clarissa,1758412,billing_inquiry,False,
2326135,@AskAmex I sure do.,673743,@673743  to look into this we would need to chat securely through our website so that I can see your account. Are you free now? ^C,2326136,general_inquiry,False,
